name,age,position,market_value
Yassine Bounou,5 avr. 1991 (32),,"11,00 mio. €"
El Mehdi Benabid,24 janv. 1998 (25),,"1,50 mio. €"
Munir El Kajoui,10 mai 1989 (34),,900 K €
Salaheddine Chihab,23 févr. 1993 (30),,300 K €
Nayef Aguerd,30 mars 1996 (27),,"38,00 mio. €"
Chadi Riad,17 juin 2003 (20),,"6,00 mio. €"
Romain Saïss,26 mars 1990 (33),,"3,50 mio. €"
Abdel Abqar,10 mars 1999 (24),,"3,00 mio. €"
Adam Masina,2 janv. 1994 (29),,"1,50 mio. €"
Achraf Dari,6 mai 1999 (24),,"1,50 mio. €"
Jamal Harkass,24 nov. 1995 (28),,"1,20 mio. €"
Yunis Abdelhamid,28 sept. 1987 (36),,700 K €
Yahia Attiyat Allah,2 mars 1995 (28),,"2,50 mio. €"
Youssef Belammari,20 sept. 1998 (25),,850 K €
Youssef Enríquez,7 oct. 2005 (18),,-
Adam Aznou,2 juin 2006 (17),,-
Achraf Hakimi,4 nov. 1998 (25),,"65,00 mio. €"
Noussair Mazraoui,14 nov. 1997 (26),,"30,00 mio. €"
Zakaria El Ouahdi,31 déc. 2001 (22),,"2,50 mio. €"
Mohamed Chibi,21 janv. 1993 (30),,800 K €
Sofyan Amrabat,21 août 1996 (27),,"28,00 mio. €"
Oussama El Azzouzi,29 mai 2001 (22),,"2,00 mio. €"
Oussama Targhalline,20 mai 2002 (21),,800 K €
Reda Belahyane,1 juin 2004 (19),,200 K €
Azzedine Ounahi,19 avr. 2000 (23),,"12,00 mio. €"
Ismael Saibari,28 janv. 2001 (22),,"10,00 mio. €"
Amir Richardson,24 janv. 2002 (21),,"6,00 mio. €"
Bilal El Khannouss,10 mai 2004 (19),,"22,00 mio. €"
Amine Harit,18 juin 1997 (26),,"15,00 mio. €"
Sofiane Boufal,17 sept. 1993 (30),,"7,00 mio. €"
Selim Amallah,15 nov. 1996 (27),,"2,50 mio. €"
Amine Adli,10 mai 2000 (23),,"25,00 mio. €"
Eliesse Ben Seghir,16 févr. 2005 (18),,"18,00 mio. €"
Abde Ezzalzouli,17 déc. 2001 (22),,"15,00 mio. €"
Osame Sahraoui,11 juin 2001 (22),,"6,50 mio. €"
Soufiane Rahimi,2 juin 1996 (27),,"6,00 mio. €"
Brahim Díaz,3 août 1999 (24),,"20,00 mio. €"
Hakim Ziyech,19 mars 1993 (30),,"12,00 mio. €"
Zakaria Aboukhlal,18 févr. 2000 (23),,"10,00 mio. €"
Ilias Akhomach,16 avr. 2004 (19),,"3,00 mio. €"
Youssef En-Nesyri,1 juin 1997 (26),,"18,00 mio. €"
Tarik Tissoudali,2 avr. 1993 (30),,"6,50 mio. €"
Ayoub El Kaabi,25 juin 1993 (30),,"3,50 mio. €"
